,Training, Testing
2495.656955,0.942283,0.9665
2464.950885,0.973783,0.9747
2415.035553,0.9795,0.9726
2402.274415,0.984217,0.9773
2385.651105,0.986417,0.9789
2349.371792,0.988883,0.9798
2354.221019,0.989533,0.9798
2339.29086,0.991617,0.9807
2357.375839,0.991383,0.982
2343.030063,0.993117,0.9772
2339.218527,0.993383,0.9786
2298.944009,0.993083,0.9793
2320.303335,0.993683,0.9806
2321.58516,0.994267,0.9809
2292.227803,0.993733,0.9769
2303.221677,0.994733,0.9802
2284.014056,0.99515,0.9802
2304.8207,0.9954,0.9837
2275.505949,0.995417,0.9803
2275.429637,0.995683,0.9824
,,
-0.873961562,,
-0.793526166,,
